Name,Code,Pop
Argentina,ARG,2
Australia,AUS,17
Austria,AUT,2
Belgium,BEL,3
Brazil,BRA,7
Canada,CAN,21
Chile,CHL,2
Croatia,HRV,2
Czech Republic,CZE,1
Denmark,DEN,1
Ecuador,ECU,3
Finland,FIN,2
France,FRA,10
Germany,GER,10
Hong Kong,HKG,2
India,IND,5
Ireland,IRL,4
Israel,ISR,2
Italy,ITA,7
Japan,JPN,7
Mexico,MEX,1
Netherlands,NLD,6
New Zealand,NZL,3
Norway,NOR,5
Pakistan,PAK,1
Poland,POL,1
Portugal,PRT,1
Russia,RUS,2
Seychelles,SYC,1
Singapore,SGP,1
Slovakia,SVK,1
South Africa,ZAF,2
South Korea,KOR,2
Spain,ESP,2
Sweden,SWE,1
Switzerland,CHE,5
Taiwan,TWN,6
Thailand,THA,2
Trinidad and Tobago,TTO,1
United Kingdom,GBR,35
Ukraine,UKR,1
United States,USA,167
