Month,Unknown,AvosLocker,Babuk,BlackShadow ,Clop,Conti,CozyBear,Cuba,CXK_NMSL,DarkSide,DharmaCrysis,DopplePaymer,Egergor,Hades,HelloKitty,LockBit,LockBit20,Maze,MountLocker,Nefilim,Netwalker,OldGremlin,Pay2Key,PhoenixCryptoLocker,ProLock,PYSA,QBot,RagnarLocker,RansomEXX,RevilSodinokibi,Ronggolawe,Ryuk,SnakeEkans,SunCrypt,SynAck,WastedLocker
2020-01-01,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,1,,,,
2020-02-01,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,1,,,,1,1,,,,,,,,,,,,2,,,2,,,,,,,,,1,,1,,,,
2020-04-01,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,
2020-05-01,10,,,,,,,,,,,,,,,,,1,,1,2,,,,1,,,,1,3,,,1,,,
2020-06-01,8,,,,,,,,,,,2,,,,,,7,,1,2,,,,,,,,,,,,2,,,
2020-07-01,4,,,,,1,,,,,,,,,,,,1,,2,2,,,,,,,1,1,3,,,,,,1
2020-08-01,10,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,1,,,,,,
2020-09-01,17,,,,,2,,,,,,1,,,,,,2,,,3,1,,,,,,1,2,2,,1,,1,,
2020-10-01,16,,,,1,2,,,,,,,1,,,1,,1,,,1,,,,,,,,1,3,,3,,,,1
2020-11-01,9,,,,,1,,,,,,3,1,,,,,,1,,1,,,,,,,2,2,2,,1,,,,
2020-12-01,5,,,1,2,3,,,,,,,3,1,,1,,,,1,2,,1,,,,,1,1,,,,,,,
2021-01-01,12,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
2021-02-01,7,,,,1,1,,1,,3,,3,1,,1,,,,,,,,,,,,,1,1,,2,,,,,
2021-03-01,12,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,1,
2021-04-01,16,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,4,,,,,,
2021-05-01,14,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,
2021-06-01,15,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,
2021-07-01,10,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,
2021-08-01,8,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,
