Month,MonthAmount,Sector,SectorAmount,Ransomware,RansomwareAmount,Country,CountryAmount
2020-01-01,5,Healthcare,59,ReEvil/Sodinokibi,34,Global,1
2020-02-01,3,Government,41,Ryuk,9,US,167
2020-03-01,8,Education,49,Netwalker,16,Australia,15
2020-04-01,4,Services,16,Clop,10,Croatia,1
2020-05-01,20,Technology,54,CXK_NMSL,1,China,2
2020-06-01,22,Manufacturing,23,Dharma/Crysis,1,Spain,2
2020-07-01,15,Retail,19,Maze,17,UK,35
2020-08-01,14,Utilities,3,Ragnarock Locker,1,Switzerland,4
2020-09-01,32,Finance,19,Snake/Ekans,3,Portugal,1
2020-10-01,32,Logistics,14,Nefilim,5,Germany,10
2020-11-01,22,Other,62,Prolock,1,Hong Kong,2
2020-12-01,20,,,RansomEXX,12,Canada,21
2021-01-01,17,,,DopplePaymer,12,Austria,2
2021-02-01,22,,,WastedLocker,2,South Africa,2
2021-03-01,24,,,DarkSide,5,Singapore,1
2021-04-01,27,,,Conti,18,Norway,5
2021-05-01,21,,,SunCrypt,1,New Zealand,3
2021-06-01,22,,,OldGremlin,1,Italy,7
2021-07-01,18,,,Egregor,7,France,10
2021-08-01,11,,,LockBit,6,Argentina,2
,,,,LockBit 2.0,1,Japan,7
,,,,Mount Locker,1,Netherlands,5
,,,,Pay2Key,1,South Korea,2
,,,,Hades,1,Chile,2
,,,,BlackShadow,1,Thailand,2
,,,,PYSA,1,Ukraine,1
,,,,Babuk,5,Seychelles,1
,,,,Cuba,1,Pakistan,1
,,,,Hello Kitty,1,India,5
,,,,Ronggolawe,2,Trinidad and Tobago,1
,,,,CryptoLocker,1,Finland,2
,,,,SynAck,1,Brazil,7
,,,,Qbot,1,Taiwan,6
,,,,AvosLocker,1,Denmark,1
,,,,Unknown,178,Mexico,1
,,,,,,Norway,5
,,,,,,Belgium,3
,,,,,,Israel,2
,,,,,,Poland,1
,,,,,,Ecuador,3
,,,,,,Ireland,4
,,,,,,Slovakia,2
,,,,,,Russia,2
